user_id,join_date,country,device_type,subscription_type
u648427,2021-06-06,MX,iPad,enterprise
u398679,2022-02-05,AU,iPad,free
u809597,2023-01-09,IN,iPad,basic
u225179,2023-12-23,CA,Android Phone,enterprise
u997923,2023-01-04,BR,Mac,basic
u337545,2021-11-07,CA,Android Tablet,premium
u383833,2021-04-14,CA,Android Tablet,free
u846889,2023-01-17,JP,Windows,free
u179680,2020-01-02,FR,iPhone,basic
u153030,2023-09-14,AU,Android Tablet,enterprise
u269960,2023-03-29,CA,iPhone,free
u626892,2022-04-16,DE,iPad,basic
u335353,2021-03-11,CA,Windows,enterprise
u307399,2020-03-20,US,Android Phone,basic
u585433,2023-12-14,CA,Mac,enterprise
u204618,2022-12-12,MX,Mac,premium
u584892,2022-10-21,JP,Mac,enterprise
u981903,2021-12-18,IN,Mac,free
u069061,2021-01-02,AU,Android Tablet,basic
u928414,2023-09-11,UK,iPhone,basic
u442331,2022-07-11,DE,Windows,premium
u688952,2021-12-17,CA,Android Tablet,free
u703592,2023-02-19,IN,iPad,premium
u238022,2020-08-15,JP,Android Phone,premium
u199784,2021-07-11,US,Mac,enterprise
u682532,2023-04-24,AU,Windows,basic
u707615,2021-02-20,CA,iPhone,basic
u172102,2021-01-19,US,iPad,basic
u957753,2023-10-17,MX,Android Phone,free
u337446,2022-01-27,JP,iPad,premium
u810832,2023-02-04,JP,Android Tablet,free
u595331,2022-03-30,FR,Mac,enterprise
u957133,2021-05-03,DE,iPad,premium
u761427,2021-05-02,UK,Android Tablet,free
u280182,2021-07-10,DE,iPhone,free
u547655,2023-02-22,FR,Mac,basic
u581369,2023-06-24,US,iPhone,enterprise
u346118,2021-12-29,DE,iPad,basic
u324553,2022-03-15,BR,Mac,enterprise
u801174,2023-07-06,FR,iPhone,free
u498928,2022-06-03,AU,Windows,basic
u758725,2021-08-05,CA,Android Phone,premium
u777146,2021-05-13,AU,Mac,enterprise
u894776,2021-06-23,US,iPad,free
u656774,2023-06-22,BR,Windows,premium
u930841,2022-12-03,FR,Windows,free
u057393,2022-01-27,JP,Mac,enterprise
u642289,2023-05-29,US,Android Phone,free
u750082,2020-02-27,MX,iPhone,basic
u605409,2021-06-22,AU,Windows,basic
u661916,2023-04-02,FR,Android Tablet,basic
u963223,2020-02-17,FR,Android Phone,free
u603351,2023-09-01,AU,Windows,enterprise
u322949,2023-11-10,BR,Android Tablet,enterprise
u913655,2022-09-04,IN,Windows,enterprise
u622562,2020-10-10,AU,Mac,basic
u958832,2022-01-20,CA,Android Tablet,free
u779486,2021-12-24,JP,Android Tablet,basic
u405477,2021-09-01,FR,Android Phone,enterprise
u938124,2021-01-12,US,Android Phone,basic
u981219,2021-12-29,UK,iPhone,premium
u694925,2022-11-20,DE,iPhone,enterprise
u092064,2021-10-25,DE,Mac,enterprise
u831426,2022-11-24,AU,Android Tablet,enterprise
u085444,2020-01-31,BR,Android Tablet,enterprise
u852396,2022-02-10,US,iPad,enterprise
u046580,2023-05-30,MX,Mac,premium
u853243,2023-04-06,MX,Android Tablet,basic
u130557,2022-03-10,IN,Windows,enterprise
u288240,2021-10-01,UK,Android Tablet,enterprise
u063597,2021-11-21,BR,iPad,enterprise
u825446,2023-05-09,US,Windows,free
u034400,2023-12-24,AU,Windows,premium
u783699,2021-02-27,UK,Android Tablet,premium
u426902,2023-01-16,US,Windows,enterprise
u829264,2020-04-01,FR,iPad,premium
u642367,2020-08-06,IN,iPad,free
u580113,2023-08-28,MX,Windows,enterprise
u698105,2022-06-02,FR,Mac,premium
u653967,2021-07-20,CA,Windows,basic
u060613,2023-03-25,UK,Windows,basic
u728264,2022-08-03,IN,iPad,free
u947249,2023-12-31,US,Android Phone,basic
u039461,2023-04-14,FR,iPhone,basic
u923542,2021-03-22,IN,Mac,basic
u696093,2020-12-26,FR,Android Tablet,free
u679056,2023-01-25,BR,Mac,basic
u723688,2023-04-29,CA,iPhone,basic
u981637,2022-03-03,FR,Windows,basic
u046920,2021-08-04,UK,iPhone,basic
u326336,2020-12-19,BR,Mac,premium
u201556,2023-05-23,UK,Mac,free
u429480,2022-07-15,AU,Android Tablet,enterprise
u621837,2022-04-03,FR,iPad,basic
u679673,2022-09-22,US,Android Phone,premium
u154160,2020-05-28,BR,Windows,enterprise
u487376,2021-12-27,MX,Android Phone,premium
u032156,2020-05-14,AU,Windows,basic
u501697,2023-06-04,FR,Windows,enterprise
u255968,2023-09-29,JP,iPhone,free
u084336,2023-08-07,UK,Mac,free
u660960,2022-03-31,US,iPhone,free
u217614,2020-10-10,IN,Windows,free
u187282,2021-11-29,FR,Windows,premium
u907098,2023-11-25,UK,Windows,basic
u517526,2023-07-15,BR,Android Tablet,premium
u931216,2021-05-31,DE,Windows,enterprise
u751784,2023-01-24,UK,Android Tablet,enterprise
u214237,2023-07-22,UK,Android Tablet,enterprise
u470496,2023-05-01,JP,Windows,free
u697494,2021-04-24,MX,iPhone,premium
u208814,2021-06-04,CA,iPhone,premium
u412367,2020-06-06,BR,Mac,free
u402060,2021-04-05,JP,iPad,premium
u936492,2023-10-28,IN,iPhone,free
u872079,2023-12-31,US,Mac,enterprise
u363659,2022-06-04,UK,Mac,free
u457138,2021-07-06,UK,iPhone,free
u257759,2023-05-21,AU,iPhone,premium
u998639,2020-10-11,FR,Mac,basic
u484822,2020-10-08,CA,Mac,free
u522658,2020-01-04,CA,Android Phone,enterprise
u045128,2020-01-18,CA,Android Phone,free
u916854,2021-06-05,CA,Windows,enterprise
u184420,2021-07-05,US,iPhone,enterprise
u787049,2020-03-15,BR,iPhone,enterprise
u461201,2020-01-10,BR,iPhone,enterprise
u629866,2020-07-16,BR,Android Phone,basic
u233353,2022-11-15,AU,Mac,free
u944779,2020-09-19,BR,Android Tablet,free
u893724,2020-06-25,US,iPhone,premium
u490666,2022-08-12,US,Windows,premium
u500610,2023-11-04,CA,Mac,enterprise
u520570,2022-09-07,UK,iPhone,free
u054729,2020-07-31,FR,Mac,enterprise
u218793,2023-11-15,BR,iPhone,basic
u647031,2022-12-22,DE,Android Tablet,enterprise
u156038,2020-12-19,IN,Windows,premium
u498930,2022-09-26,JP,Windows,premium
u634406,2021-03-08,CA,Windows,basic
u308966,2022-09-10,AU,Android Phone,enterprise
u845639,2021-10-17,JP,Windows,free
u546272,2022-03-01,FR,iPhone,enterprise
u694760,2023-01-04,AU,iPad,basic
u734441,2020-01-06,US,Android Tablet,free
u736278,2023-01-06,US,Android Phone,basic
u195956,2021-12-04,CA,Mac,enterprise
u545213,2021-09-13,IN,Android Phone,basic
u555515,2022-09-26,FR,Windows,enterprise
u172771,2020-12-26,IN,Mac,enterprise
u390983,2020-01-26,DE,Android Phone,premium
u234733,2022-04-03,FR,Android Phone,enterprise
u077542,2023-09-18,IN,Mac,basic
u629894,2021-05-10,CA,iPhone,free
u156880,2023-01-09,MX,iPhone,enterprise
u716535,2023-02-21,US,Android Tablet,basic
u552717,2022-03-26,JP,Mac,basic
u475210,2022-02-27,FR,Windows,premium
u562727,2023-11-23,UK,Android Tablet,free
u938255,2020-07-10,JP,iPad,free
u039429,2020-05-31,MX,Android Phone,basic
u109297,2020-04-11,UK,Mac,basic
u743190,2020-03-23,AU,Mac,free
u888170,2022-11-16,UK,Windows,premium
u226737,2023-11-12,CA,iPad,free
u536099,2023-09-09,JP,Android Tablet,enterprise
u600482,2020-01-20,AU,iPad,free
u754704,2020-11-06,US,iPad,enterprise
u227546,2023-09-10,AU,Android Tablet,premium
u821219,2021-04-05,DE,Windows,enterprise
u363754,2022-08-01,MX,Android Phone,enterprise
u582224,2022-07-15,BR,Mac,enterprise
u901120,2022-07-28,US,Android Tablet,premium
u206738,2023-02-12,BR,Android Phone,basic
u678752,2020-06-25,DE,Android Tablet,basic
u883389,2022-05-24,CA,Mac,enterprise
u304080,2021-09-15,CA,Mac,enterprise
u157381,2020-11-22,FR,iPhone,enterprise
u809223,2023-01-30,IN,iPhone,enterprise
u685662,2020-08-21,BR,Android Tablet,enterprise
u711107,2022-01-19,CA,Android Tablet,basic
u484994,2022-07-31,DE,Mac,free
u302114,2021-11-27,IN,Android Tablet,premium
u884531,2020-12-28,IN,iPad,free
u776422,2021-10-14,FR,Android Phone,free
u720752,2020-07-29,MX,iPad,premium
u805533,2022-04-19,IN,iPad,enterprise
u655856,2020-09-03,UK,Windows,premium
u958867,2023-10-16,JP,iPhone,premium
u324495,2021-04-15,IN,Android Tablet,enterprise
u523262,2022-08-27,AU,Android Tablet,enterprise
u132036,2022-03-05,AU,Mac,enterprise
u583005,2023-09-30,BR,iPad,premium
u925666,2023-11-03,CA,Windows,premium
u581598,2020-12-27,BR,Mac,basic
u176492,2020-02-04,IN,iPhone,basic
u114451,2023-04-11,MX,Android Phone,enterprise
u753747,2021-12-15,JP,Mac,premium
u480375,2020-11-23,IN,Android Phone,free
u909692,2023-12-26,CA,Android Phone,basic
u356623,2022-01-26,MX,iPhone,enterprise
u127738,2021-04-27,CA,iPhone,premium
u488756,2021-10-25,CA,Mac,enterprise
u529080,2023-07-03,JP,Android Phone,free
u846099,2023-03-24,JP,iPhone,free
u266664,2023-06-26,FR,iPhone,free
u190970,2020-08-13,BR,Android Phone,basic
u331380,2022-09-06,UK,Android Phone,enterprise
u334167,2020-01-13,JP,Android Tablet,enterprise
u185776,2023-07-13,DE,Mac,premium
u498128,2022-09-30,IN,Android Tablet,premium
u080641,2022-01-27,MX,Android Phone,premium
u084218,2022-06-17,JP,Android Tablet,enterprise
u102163,2023-08-04,BR,Android Tablet,basic
u487716,2023-11-15,AU,Android Phone,basic
u199994,2021-03-02,BR,Android Phone,premium
u653300,2020-04-09,AU,Mac,basic
u617696,2022-03-31,AU,iPad,basic
u693319,2022-02-03,AU,iPad,free
u449812,2021-07-17,CA,iPad,free
u165518,2022-02-26,MX,iPad,basic
u474431,2020-10-11,MX,Android Phone,basic
u949437,2022-12-14,IN,Windows,basic
u933151,2023-08-09,DE,iPad,premium
u072153,2020-11-10,UK,iPhone,basic
u651102,2021-05-18,JP,Android Tablet,basic
u611061,2023-10-25,IN,Windows,free
u954186,2021-11-11,FR,Android Phone,basic
u273058,2023-02-09,IN,Android Phone,enterprise
u586889,2020-10-08,BR,Mac,basic
u510038,2020-03-18,AU,iPhone,free
u204116,2021-03-27,CA,Android Tablet,free
u672618,2023-12-25,JP,Android Tablet,premium
u019155,2022-09-25,FR,Android Phone,enterprise
u049044,2020-10-20,MX,Windows,basic
u887015,2022-09-20,JP,Windows,basic
u669169,2022-06-21,IN,Android Tablet,free
u436592,2022-03-08,AU,iPad,basic
u077327,2023-06-27,JP,iPad,free
u037846,2023-07-18,IN,Mac,premium
u566254,2023-07-24,US,iPad,free
u389879,2021-04-11,JP,Android Tablet,premium
u564429,2022-07-09,MX,Android Tablet,enterprise
u483056,2020-05-26,MX,Windows,basic
u495765,2023-04-27,IN,Android Tablet,free
u569097,2020-11-23,CA,Android Phone,free
u996371,2023-04-15,BR,iPad,enterprise
u573178,2023-01-28,IN,iPad,premium
u988408,2022-09-16,JP,iPhone,premium
u067247,2023-02-20,MX,iPhone,free
u943421,2022-04-12,CA,Mac,premium
u190347,2021-05-13,AU,Android Tablet,premium
u341993,2020-04-13,DE,iPad,free
u494779,2020-10-25,AU,iPad,basic
u071031,2023-02-08,US,Android Phone,basic
u355720,2022-10-13,CA,Android Tablet,enterprise
u796423,2022-08-17,IN,iPhone,enterprise
u628883,2022-01-18,CA,Windows,free
u578942,2022-07-02,BR,Mac,free
u026088,2022-06-10,MX,Windows,free
u642027,2022-04-18,MX,Android Tablet,basic
u189294,2023-02-17,UK,Windows,free
u692381,2023-02-28,CA,Windows,basic
u543159,2022-10-24,IN,iPhone,free
u402541,2020-08-16,CA,iPhone,basic
u747989,2022-11-27,FR,Android Phone,basic
u518533,2022-05-29,US,iPhone,enterprise
u953693,2020-08-14,MX,iPhone,basic
u490457,2023-02-24,US,Android Tablet,basic
u277801,2022-12-12,US,Android Phone,premium
u478651,2021-08-07,FR,Android Tablet,premium
u944638,2021-01-18,FR,iPad,basic
u618115,2023-07-24,UK,iPhone,premium
u174492,2021-10-15,DE,Android Phone,enterprise
u145751,2021-07-09,AU,iPad,free
u337628,2020-05-10,MX,iPhone,enterprise
u953431,2022-07-16,DE,Mac,premium
u875562,2020-10-06,CA,Android Tablet,basic
u514107,2023-05-13,BR,Android Tablet,premium
u330875,2022-10-07,DE,iPad,free
u602781,2023-09-15,IN,iPhone,free
u318295,2021-11-02,DE,Android Phone,enterprise
u969441,2022-04-30,MX,Mac,free
u800957,2021-01-10,FR,Windows,premium
u944273,2021-12-24,DE,iPhone,premium
u002870,2022-05-14,UK,Android Phone,enterprise
u660203,2021-05-01,BR,iPhone,free
u836562,2020-10-19,AU,iPad,basic
u074340,2023-11-19,BR,Mac,premium
u242581,2020-08-10,CA,iPhone,enterprise
u047179,2021-02-04,JP,Android Phone,free
u369080,2023-06-21,BR,Android Phone,premium
u266337,2020-02-05,IN,Mac,enterprise
u921719,2021-10-06,MX,Android Tablet,free
u056176,2020-11-25,DE,Android Phone,enterprise
u456108,2021-07-29,AU,iPhone,basic
u407862,2021-11-23,MX,Android Phone,premium
u021623,2020-02-25,FR,Windows,enterprise
u308675,2021-07-31,FR,Android Tablet,free
u592253,2022-10-24,CA,Android Phone,enterprise
u998608,2021-04-18,US,Windows,premium
u786809,2021-09-24,DE,Android Phone,basic
u799825,2022-10-03,MX,Windows,premium
u191132,2021-04-12,CA,Mac,basic
u139954,2021-04-02,DE,Mac,enterprise
u113047,2020-04-18,UK,Mac,free
u574387,2020-05-18,US,Android Phone,basic
u742150,2023-12-07,JP,iPad,enterprise
u000745,2022-05-22,UK,Mac,premium
u999008,2022-06-29,BR,iPhone,premium
u434030,2023-10-04,IN,Windows,free
u939140,2023-07-28,US,Android Tablet,basic
u624551,2020-08-18,US,Android Phone,free
u373186,2020-08-03,IN,Windows,premium
u696989,2022-07-30,US,Windows,enterprise
u743209,2020-03-09,JP,Windows,enterprise
u696692,2021-01-27,MX,Windows,enterprise
u303662,2020-10-09,FR,Android Tablet,enterprise
u668085,2023-02-03,FR,Mac,enterprise
u763164,2020-03-26,DE,Mac,basic
u306833,2020-07-18,US,Android Tablet,premium
u901754,2020-07-12,UK,Android Phone,premium
u572415,2020-11-30,IN,Mac,free
u636544,2021-05-13,AU,Mac,enterprise
u291155,2020-05-20,BR,Mac,enterprise
u365078,2021-12-02,FR,Windows,premium
u319061,2021-12-18,US,Windows,premium
u927738,2020-12-27,BR,Android Phone,premium
u310709,2020-04-26,US,Mac,premium
u726487,2020-09-14,FR,iPad,free
u596488,2020-06-16,MX,iPhone,premium
u821654,2022-08-09,MX,iPad,enterprise
u360925,2020-10-16,BR,Windows,premium
u597788,2022-02-16,BR,iPhone,enterprise
u791978,2023-07-02,AU,Android Tablet,basic
u991693,2022-06-28,MX,Android Phone,free
u202756,2021-08-02,CA,Android Tablet,basic
u381009,2020-11-10,CA,iPad,premium
u613075,2021-03-23,JP,Windows,basic
u905621,2022-02-21,DE,iPhone,enterprise
u796007,2021-07-20,MX,Android Phone,enterprise
u756873,2022-11-29,FR,Android Phone,free
u804759,2020-08-19,BR,Android Phone,free
u755978,2020-12-10,US,iPhone,premium
u352044,2023-07-23,CA,Windows,premium
u636404,2023-04-29,IN,Android Tablet,premium
u686901,2020-05-12,MX,iPhone,enterprise
u853268,2022-08-17,IN,Windows,free
u941953,2022-11-15,MX,Android Tablet,enterprise
u408177,2023-11-10,MX,Mac,enterprise
u068267,2021-07-03,UK,Windows,basic
u828174,2022-10-18,US,Android Tablet,free
u660936,2022-03-21,FR,Android Phone,basic
u465046,2023-05-27,AU,iPad,premium
u278829,2023-06-28,JP,Windows,basic
u159752,2021-08-27,JP,Mac,premium
u801835,2021-12-03,MX,Windows,premium
u759105,2020-12-13,JP,iPad,free
u168836,2020-02-01,US,iPhone,enterprise
u242129,2020-04-09,UK,Mac,free
u155810,2023-05-15,UK,iPad,enterprise
u907085,2020-04-25,CA,iPad,free
u966891,2023-05-15,FR,iPhone,premium
u898636,2023-04-21,DE,iPhone,basic
u210024,2021-06-16,DE,iPad,basic
u279546,2020-11-07,CA,Mac,basic
u508592,2023-07-11,JP,Mac,basic
u501466,2021-06-10,DE,Windows,premium
u735031,2021-12-23,DE,Android Tablet,free
u994511,2021-04-15,US,Android Phone,premium
u276961,2021-07-24,MX,Android Phone,premium
u169423,2022-04-13,MX,iPad,enterprise
u347971,2020-08-28,AU,Mac,free
u932726,2021-08-08,MX,iPhone,premium
u452404,2021-10-24,CA,Android Tablet,enterprise
u606449,2020-01-22,DE,iPhone,basic
u915303,2020-03-09,FR,Windows,enterprise
u254387,2023-03-21,JP,Windows,premium
u514927,2022-10-25,IN,Windows,premium
u337894,2020-08-02,UK,iPhone,free
u132414,2021-01-10,FR,Windows,free
u989081,2021-04-22,MX,iPhone,basic
u805440,2021-03-01,DE,Android Tablet,premium
u207576,2022-11-05,AU,iPad,basic
u890434,2021-11-04,JP,iPad,free
u778575,2020-02-13,AU,Mac,free
u146953,2020-03-29,UK,Mac,basic
u888331,2021-04-05,US,Android Tablet,premium
u927345,2022-09-09,JP,Mac,enterprise
u664845,2021-06-03,BR,iPhone,premium
u591654,2021-06-04,AU,Android Phone,enterprise
u358384,2022-11-10,MX,iPad,free
u400627,2020-02-25,IN,Android Phone,free
u957503,2023-11-17,JP,Windows,enterprise
u787127,2023-08-27,BR,Android Tablet,premium
u255249,2023-03-06,BR,Android Tablet,basic
u992766,2022-06-10,UK,Android Phone,enterprise
u622430,2022-10-23,UK,Windows,basic
u768788,2020-06-24,MX,iPad,basic
u494026,2023-11-26,AU,Mac,free
u369244,2021-02-05,UK,Windows,premium
u650127,2022-07-24,CA,Mac,enterprise
u260337,2023-01-15,UK,Android Phone,premium
u189295,2023-03-12,IN,Mac,basic
u088152,2023-06-13,BR,iPad,enterprise
u998724,2023-08-10,FR,Android Phone,free
u602189,2021-07-20,DE,Mac,enterprise
u351882,2023-03-14,CA,iPhone,enterprise
u053918,2021-01-19,BR,Android Tablet,basic
u269314,2021-05-26,JP,Mac,free
u329986,2021-03-28,DE,Windows,basic
u396894,2021-03-18,BR,Android Tablet,basic
u230895,2021-04-09,US,Android Tablet,premium
u366533,2023-10-30,JP,iPad,premium
u707610,2023-12-24,FR,Mac,premium
u198356,2021-01-26,MX,iPhone,premium
u851324,2022-05-20,JP,Windows,premium
u020350,2020-03-12,IN,Android Tablet,free
u314275,2021-12-05,DE,Android Tablet,premium
u110263,2021-12-24,BR,iPad,enterprise
u386113,2021-11-12,CA,Windows,enterprise
u810823,2020-01-05,US,Android Tablet,enterprise
u495755,2022-08-16,JP,Windows,free
u283133,2023-05-28,FR,Windows,premium
u348440,2020-01-27,DE,Android Tablet,free
u581937,2021-01-07,IN,Android Phone,premium
u530882,2023-06-29,IN,Android Phone,premium
u245817,2023-09-16,FR,iPad,basic
u594209,2021-07-08,UK,Android Phone,free
u310927,2020-12-14,IN,Mac,free
u168521,2022-07-31,MX,Windows,basic
u550976,2020-02-16,BR,iPad,free
u326284,2021-10-18,DE,Mac,premium
u607821,2023-04-29,BR,Android Tablet,enterprise
u873494,2022-01-23,UK,Windows,enterprise
u546223,2023-09-18,UK,iPad,enterprise
u504999,2022-12-20,MX,Android Tablet,enterprise
u464022,2022-01-29,UK,Android Phone,premium
u883271,2023-03-19,MX,Windows,basic
u623426,2021-08-24,DE,Windows,enterprise
u413698,2021-03-20,FR,Windows,premium
u213662,2023-04-08,AU,Android Tablet,premium
u477465,2023-05-01,AU,Windows,free
u554822,2023-05-31,AU,Windows,free
u843967,2020-10-18,CA,iPhone,basic
u405999,2021-06-25,CA,iPad,free
u663584,2021-04-09,UK,iPhone,premium
u093278,2023-08-19,UK,iPhone,basic
u836883,2022-07-01,JP,Android Tablet,basic
u506318,2022-01-04,FR,Windows,basic
u358028,2023-12-01,CA,Mac,free
u553414,2023-01-18,CA,Mac,premium
u938280,2022-09-22,FR,Android Tablet,free
u528460,2021-02-21,MX,Mac,premium
u599007,2022-04-14,IN,iPad,premium
u627593,2020-09-02,BR,iPad,free
u497747,2023-12-05,FR,iPhone,basic
u278373,2022-05-03,JP,iPhone,premium
u930339,2021-06-10,DE,Windows,basic
u585323,2022-08-15,FR,Android Phone,enterprise
u409369,2023-10-21,US,Android Tablet,premium
u836202,2022-11-14,JP,Android Phone,premium
u002020,2022-03-13,CA,Android Tablet,enterprise
u720178,2022-09-17,CA,Android Tablet,free
u772528,2022-08-16,JP,Android Phone,free
u019733,2023-03-05,AU,Android Tablet,premium
u593419,2020-01-11,AU,Windows,premium
u981766,2021-04-21,MX,Windows,free
u463113,2022-11-07,FR,iPad,basic
u456489,2022-02-27,IN,Android Tablet,basic
u190707,2023-05-30,CA,iPhone,free
u081581,2021-12-03,BR,Android Phone,enterprise
u434341,2021-04-21,BR,iPad,enterprise
u572999,2023-08-27,DE,Windows,free
u282732,2022-12-06,AU,Android Phone,enterprise
u415383,2023-09-22,IN,Windows,premium
u422368,2022-01-15,BR,Mac,basic
u628662,2020-08-24,FR,Android Tablet,free
u895546,2020-10-20,BR,Android Tablet,basic
u465573,2021-05-08,US,Windows,enterprise
u440565,2023-02-17,JP,iPad,enterprise
u444438,2022-09-22,JP,Windows,basic
u285091,2021-12-30,MX,Android Tablet,basic
u456389,2022-02-01,CA,Windows,premium
u222043,2021-11-28,UK,Android Phone,enterprise
u536663,2021-10-11,MX,iPhone,premium
u362681,2022-01-08,DE,Android Tablet,free
u737568,2020-04-12,JP,Mac,enterprise
u751422,2023-07-24,BR,Windows,basic
u000738,2022-06-02,JP,Android Tablet,premium
u456255,2021-08-02,UK,Mac,enterprise
u169874,2021-11-15,AU,iPhone,enterprise
u832633,2023-01-26,US,Android Phone,premium
u320502,2021-06-20,CA,Mac,basic
u826676,2021-03-26,JP,Android Phone,basic
u271092,2023-04-21,FR,Android Tablet,enterprise
u864664,2022-12-07,BR,Android Phone,free
u287928,2020-12-02,DE,Mac,premium
u867395,2020-04-24,UK,Android Tablet,basic
u947977,2021-06-26,AU,iPhone,free
u135331,2022-10-01,BR,Android Phone,enterprise
u661417,2021-05-30,JP,Android Tablet,premium
u890335,2021-01-16,UK,Android Phone,basic
u377527,2022-02-09,BR,Android Phone,premium
